Entity,Code,Year,"Population, total","Population, medium projection (Projected)"
Philippines,PHL,2023,114891199,
Poland,POL,2023,38762847,
Portugal,PRT,2023,10430735,
Puerto Rico,PRI,2023,3242022,
Qatar,QAT,2023,2979086,
Romania,ROU,2023,19118482,
Russia,RUS,2023,145440502,
Rwanda,RWA,2023,13954473,
Saint Kitts and Nevis,KNA,2023,46783,
Saint Lucia,LCA,2023,179291,
Saint Vincent and the Grenadines,VCT,2023,101331,
Samoa,WSM,2023,216673,
San Marino,SMR,2023,33761,
Sao Tome and Principe,STP,2023,230882,
Saudi Arabia,SAU,2023,33264289,
Senegal,SEN,2023,18077573,
Serbia,SRB,2023,6773204,
Seychelles,SYC,2023,127961,
Sierra Leone,SLE,2023,8460523,
Singapore,SGP,2023,5789092,
Slovakia,SVK,2023,5518057,
Slovenia,SVN,2023,2118394,
Solomon Islands,SLB,2023,800014,
Somalia,SOM,2023,18358622,
South Africa,ZAF,2023,63212386,
South Korea,KOR,2023,51748744,
South Sudan,SSD,2023,11483370,
Spain,ESP,2023,47911583,
Sri Lanka,LKA,2023,22971615,
Sudan,SDN,2023,50042800,
Suriname,SUR,2023,628892,
Sweden,SWE,2023,10551493,
Switzerland,CHE,2023,8870564,
Syria,SYR,2023,23594623,
Taiwan,TWN,2023,23317145,
Tajikistan,TJK,2023,10389807,
Tanzania,TZA,2023,66617607,
Thailand,THA,2023,71702436,
Togo,TGO,2023,9304346,
Tonga,TON,2023,104613,
Trinidad and Tobago,TTO,2023,1502938,
Tunisia,TUN,2023,12200434,
Turkey,TUR,2023,87270502,
Turkmenistan,TKM,2023,7364437,
Tuvalu,TUV,2023,9837,
Uganda,UGA,2023,48656606,
Ukraine,UKR,2023,37732833,
United Arab Emirates,ARE,2023,10642089,
United Kingdom,GBR,2023,68682965,
United States,USA,2023,343477330,
Uruguay,URY,2023,3388083,
Uzbekistan,UZB,2023,35652311,
Vanuatu,VUT,2023,320422,
Venezuela,VEN,2023,28300861,
Vietnam,VNM,2023,100352189,
Western Sahara,ESH,2023,579734,
Yemen,YEM,2023,39390800,
Zambia,ZMB,2023,20723967,
Zimbabwe,ZWE,2023,16340829,
