Entity,Code,Year,Democracy index,World region according to OWID,time,time
Madagascar,MDG,2024,5.33,Africa,2023,2024
Malawi,MWI,2024,5.85,Africa,2023,2024
Malaysia,MYS,2024,7.11,Asia,2023,2024
Mali,MLI,2024,2.4,Africa,2023,2024
Malta,MLT,2024,7.93,Europe,2023,2024
Mauritania,MRT,2024,3.96,Africa,2023,2024
Mauritius,MUS,2024,8.23,Africa,2023,2024
Mexico,MEX,2024,5.32,North America,2023,2024
Moldova,MDA,2024,6.04,Europe,2023,2024
Mongolia,MNG,2024,6.53,Asia,2023,2024
Montenegro,MNE,2024,6.73,Europe,2023,2024
Morocco,MAR,2024,4.97,Africa,2023,2024
Mozambique,MOZ,2024,3.38,Africa,2023,2024
Myanmar,MMR,2024,0.96,Asia,2023,2024
Namibia,NAM,2024,6.48,Africa,2023,2024
Nepal,NPL,2024,4.6,Asia,2023,2024
Netherlands,NLD,2024,9,Europe,2023,2024
New Zealand,NZL,2024,9.61,Oceania,2023,2024
Nicaragua,NIC,2024,2.09,North America,2023,2024
Niger,NER,2024,2.26,Africa,2023,2024
Nigeria,NGA,2024,4.16,Africa,2023,2024
North Korea,PRK,2024,1.08,Asia,2023,2024
North Macedonia,MKD,2024,6.28,Europe,2023,2024
Norway,NOR,2024,9.81,Europe,2023,2024
Oman,OMN,2024,3.05,Asia,2023,2024
Pakistan,PAK,2024,2.84,Asia,2023,2024
Palestine,PSE,2024,3.44,Asia,2023,2024
Panama,PAN,2024,6.84,North America,2023,2024
Papua New Guinea,PNG,2024,5.97,Oceania,2023,2024
Paraguay,PRY,2024,5.92,South America,2023,2024
Peru,PER,2024,5.69,South America,2023,2024
Philippines,PHL,2024,6.63,Asia,2023,2024
Poland,POL,2024,7.4,Europe,2023,2024
Portugal,PRT,2024,8.08,Europe,2023,2024
Qatar,QAT,2024,3.17,Asia,2023,2024
Romania,ROU,2024,5.99,Europe,2023,2024
Russia,RUS,2024,2.03,Europe,2023,2024
Rwanda,RWA,2024,3.34,Africa,2023,2024
Saudi Arabia,SAU,2024,2.08,Asia,2023,2024
Senegal,SEN,2024,5.93,Africa,2023,2024
Serbia,SRB,2024,6.26,Europe,2023,2024
Sierra Leone,SLE,2024,4.32,Africa,2023,2024
Singapore,SGP,2024,6.18,Asia,2023,2024
Slovakia,SVK,2024,7.21,Europe,2023,2024
Slovenia,SVN,2024,7.82,Europe,2023,2024
South Africa,ZAF,2024,7.16,Africa,2023,2024
South Korea,KOR,2024,7.75,Asia,2023,2024
Spain,ESP,2024,8.13,Europe,2023,2024
Sri Lanka,LKA,2024,6.19,Asia,2023,2024
Sudan,SDN,2024,1.46,Africa,2023,2024
Suriname,SUR,2024,6.79,South America,2023,2024
Sweden,SWE,2024,9.39,Europe,2023,2024
Switzerland,CHE,2024,9.32,Europe,2023,2024
Syria,SYR,2024,1.32,Asia,2023,2024
Taiwan,TWN,2024,8.78,Asia,2023,2024
Tajikistan,TJK,2024,1.83,Asia,2023,2024
Tanzania,TZA,2024,5.2,Africa,2023,2024
Thailand,THA,2024,6.27,Asia,2023,2024
Togo,TGO,2024,2.99,Africa,2023,2024
Trinidad and Tobago,TTO,2024,7.09,North America,2023,2024
Tunisia,TUN,2024,4.71,Africa,2023,2024
Turkey,TUR,2024,4.26,Asia,2023,2024
Turkmenistan,TKM,2024,1.66,Asia,2023,2024
Uganda,UGA,2024,4.49,Africa,2023,2024
Ukraine,UKR,2024,4.9,Europe,2023,2024
United Arab Emirates,ARE,2024,3.07,Asia,2023,2024
United Kingdom,GBR,2024,8.34,Europe,2023,2024
United States,USA,2024,7.85,North America,2023,2024
Uruguay,URY,2024,8.67,South America,2023,2024
Uzbekistan,UZB,2024,2.1,Asia,2023,2024
Venezuela,VEN,2024,2.25,South America,2023,2024
Vietnam,VNM,2024,2.62,Asia,2023,2024
Yemen,YEM,2024,1.95,Asia,2023,2024
Zambia,ZMB,2024,5.73,Africa,2023,2024
Zimbabwe,ZWE,2024,2.98,Africa,2023,2024
