Entity,Code,Year,Total democracy score,World region according to OWID,time,time
Guinea-Bissau,GNB,2024,41,Africa,2023,2024
Guyana,GUY,2024,74,South America,2023,2024
Haiti,HTI,2024,24,North America,2023,2024
Honduras,HND,2024,48,North America,2023,2024
Hungary,HUN,2024,65,Europe,2023,2024
Iceland,ISL,2024,95,Europe,2023,2024
India,IND,2024,63,Asia,2023,2024
Indonesia,IDN,2024,56,Asia,2023,2024
Iran,IRN,2024,11,Asia,2023,2024
Iraq,IRQ,2024,31,Asia,2023,2024
Ireland,IRL,2024,97,Europe,2023,2024
Israel,ISR,2024,73,Asia,2023,2024
Italy,ITA,2024,89,Europe,2023,2024
Jamaica,JAM,2024,80,North America,2023,2024
Japan,JPN,2024,96,Asia,2023,2024
Jordan,JOR,2024,34,Asia,2023,2024
Kazakhstan,KAZ,2024,23,Asia,2023,2024
Kenya,KEN,2024,51,Africa,2023,2024
Kiribati,KIR,2024,89,Oceania,2023,2024
Kosovo,OWID_KOS,2024,60,Europe,2023,2024
Kuwait,KWT,2024,31,Asia,2023,2024
Kyrgyzstan,KGZ,2024,26,Asia,2023,2024
Laos,LAO,2024,13,Asia,2023,2024
Latvia,LVA,2024,89,Europe,2023,2024
Lebanon,LBN,2024,39,Asia,2023,2024
Lesotho,LSO,2024,66,Africa,2023,2024
Liberia,LBR,2024,64,Africa,2023,2024
Libya,LBY,2024,10,Africa,2023,2024
Liechtenstein,LIE,2024,90,Europe,2023,2024
Lithuania,LTU,2024,89,Europe,2023,2024
Luxembourg,LUX,2024,97,Europe,2023,2024
Madagascar,MDG,2024,55,Africa,2023,2024
Malawi,MWI,2024,65,Africa,2023,2024
Malaysia,MYS,2024,53,Asia,2023,2024
Maldives,MDV,2024,43,Asia,2023,2024
Mali,MLI,2024,24,Africa,2023,2024
Malta,MLT,2024,87,Europe,2023,2024
Marshall Islands,MHL,2024,93,Oceania,2023,2024
Mauritania,MRT,2024,39,Africa,2023,2024
Mauritius,MUS,2024,86,Africa,2023,2024
Mexico,MEX,2024,59,North America,2023,2024
Micronesia (country),FSM,2024,92,Oceania,2023,2024
Moldova,MDA,2024,60,Europe,2023,2024
Monaco,MCO,2024,82,Europe,2023,2024
Mongolia,MNG,2024,84,Asia,2023,2024
Montenegro,MNE,2024,69,Europe,2023,2024
Morocco,MAR,2024,37,Africa,2023,2024
Mozambique,MOZ,2024,41,Africa,2023,2024
Myanmar,MMR,2024,7,Asia,2023,2024
Namibia,NAM,2024,73,Africa,2023,2024
Nauru,NRU,2024,75,Oceania,2023,2024
Nepal,NPL,2024,62,Asia,2023,2024
Netherlands,NLD,2024,97,Europe,2023,2024
New Zealand,NZL,2024,99,Oceania,2023,2024
Nicaragua,NIC,2024,14,North America,2023,2024
Niger,NER,2024,30,Africa,2023,2024
Nigeria,NGA,2024,44,Africa,2023,2024
North Korea,PRK,2024,3,Asia,2023,2024
North Macedonia,MKD,2024,67,Europe,2023,2024
Norway,NOR,2024,99,Europe,2023,2024
Oman,OMN,2024,24,Asia,2023,2024
Pakistan,PAK,2024,32,Asia,2023,2024
Palau,PLW,2024,92,Oceania,2023,2024
Panama,PAN,2024,83,North America,2023,2024
Papua New Guinea,PNG,2024,61,Oceania,2023,2024
Paraguay,PRY,2024,63,South America,2023,2024
Peru,PER,2024,67,South America,2023,2024
Philippines,PHL,2024,58,Asia,2023,2024
Poland,POL,2024,82,Europe,2023,2024
Portugal,PRT,2024,96,Europe,2023,2024
Qatar,QAT,2024,25,Asia,2023,2024
Romania,ROU,2024,82,Europe,2023,2024
Russia,RUS,2024,12,Europe,2023,2024
Rwanda,RWA,2024,21,Africa,2023,2024
Saint Kitts and Nevis,KNA,2024,89,North America,2023,2024
Saint Lucia,LCA,2024,91,North America,2023,2024
Saint Vincent and the Grenadines,VCT,2024,90,North America,2023,2024
Samoa,WSM,2024,84,Oceania,2023,2024
San Marino,SMR,2024,97,Europe,2023,2024
Sao Tome and Principe,STP,2024,84,Africa,2023,2024
Saudi Arabia,SAU,2024,9,Asia,2023,2024
Senegal,SEN,2024,69,Africa,2023,2024
Serbia,SRB,2024,56,Europe,2023,2024
Seychelles,SYC,2024,80,Africa,2023,2024
Sierra Leone,SLE,2024,59,Africa,2023,2024
Singapore,SGP,2024,48,Asia,2023,2024
Slovakia,SVK,2024,89,Europe,2023,2024
Slovenia,SVN,2024,96,Europe,2023,2024
Solomon Islands,SLB,2024,75,Oceania,2023,2024
Somalia,SOM,2024,8,Africa,2023,2024
South Africa,ZAF,2024,81,Africa,2023,2024
South Korea,KOR,2024,81,Asia,2023,2024
South Sudan,SSD,2024,1,Africa,2023,2024
Spain,ESP,2024,90,Europe,2023,2024
Sri Lanka,LKA,2024,58,Asia,2023,2024
Sudan,SDN,2024,2,Africa,2023,2024
Suriname,SUR,2024,80,South America,2023,2024
Sweden,SWE,2024,99,Europe,2023,2024
Switzerland,CHE,2024,96,Europe,2023,2024
Syria,SYR,2024,5,Asia,2023,2024
Taiwan,TWN,2024,94,Asia,2023,2024
Tajikistan,TJK,2024,5,Asia,2023,2024
Tanzania,TZA,2024,35,Africa,2023,2024
Thailand,THA,2024,34,Asia,2023,2024
Togo,TGO,2024,41,Africa,2023,2024
Tonga,TON,2024,80,Oceania,2023,2024
Trinidad and Tobago,TTO,2024,82,North America,2023,2024
Tunisia,TUN,2024,44,Africa,2023,2024
Turkey,TUR,2024,33,Asia,2023,2024
Turkmenistan,TKM,2024,1,Asia,2023,2024
Tuvalu,TUV,2024,93,Oceania,2023,2024
Uganda,UGA,2024,34,Africa,2023,2024
Ukraine,UKR,2024,51,Europe,2023,2024
United Arab Emirates,ARE,2024,18,Asia,2023,2024
United Kingdom,GBR,2024,92,Europe,2023,2024
United States,USA,2024,84,North America,2023,2024
Uruguay,URY,2024,96,South America,2023,2024
Uzbekistan,UZB,2024,12,Asia,2023,2024
Vanuatu,VUT,2024,82,Oceania,2023,2024
Venezuela,VEN,2024,13,South America,2023,2024
Vietnam,VNM,2024,20,Asia,2023,2024
Western Sahara,ESH,2024,4,Africa,2023,2024
Yemen,YEM,2024,10,Asia,2023,2024
Zambia,ZMB,2024,53,Africa,2023,2024
Zimbabwe,ZWE,2024,26,Africa,2023,2024
