Entity,Code,Year,Share of adults who smoke or use tobacco (age-standardized),time
Senegal,SEN,2022,6.5,2022
Serbia,SRB,2022,39.5,2022
Seychelles,SYC,2022,20.2,2022
Sierra Leone,SLE,2022,12.9,2022
Singapore,SGP,2022,16.4,2022
Slovakia,SVK,2022,32.4,2022
Slovenia,SVN,2022,20.1,2022
Solomon Islands,SLB,2022,36.9,2022
South Africa,ZAF,2022,20.7,2022
South Korea,KOR,2022,20,2022
Spain,ESP,2022,28.4,2022
Sri Lanka,LKA,2022,19.5,2022
Sweden,SWE,2022,22.7,2022
Switzerland,CHE,2022,25.5,2022
Tanzania,TZA,2022,9.3,2022
Thailand,THA,2022,19.2,2022
Togo,TGO,2022,6.4,2022
Tonga,TON,2022,31.3,2022
Tunisia,TUN,2022,20.5,2022
Turkey,TUR,2022,30.5,2022
Turkmenistan,TKM,2022,5.6,2022
Tuvalu,TUV,2022,33.7,2022
Uganda,UGA,2022,7.5,2022
Ukraine,UKR,2022,24.9,2022
United Arab Emirates,ARE,2022,9,2022
United Kingdom,GBR,2022,14.2,2022
United States,USA,2022,24.3,2022
Uruguay,URY,2022,20.5,2022
Uzbekistan,UZB,2022,16.7,2022
Vietnam,VNM,2022,22.5,2022
Yemen,YEM,2022,21.4,2022
Zambia,ZMB,2022,14.6,2022
Zimbabwe,ZWE,2022,11.3,2022
