Entity,Code,Year,2.1.1 Prevalence of undernourishment | 000000000024000 || Value | 006121 || percent,time
Slovakia,SVK,2022,3.6,2022
Slovenia,SVN,2022,2.5,2022
Solomon Islands,SLB,2022,19.4,2022
Somalia,SOM,2022,51.3,2022
South Africa,ZAF,2022,8.1,2022
South Korea,KOR,2022,2.5,2022
South Sudan,SSD,2022,19.6,2022
Spain,ESP,2022,2.5,2022
Sri Lanka,LKA,2022,4.1,2022
Sudan,SDN,2022,11.4,2022
Suriname,SUR,2022,10.1,2022
Sweden,SWE,2022,2.5,2022
Switzerland,CHE,2022,2.5,2022
Syria,SYR,2022,34,2022
Taiwan,TWN,2022,3.7,2022
Tajikistan,TJK,2022,8.7,2022
Tanzania,TZA,2022,23.8,2022
Thailand,THA,2022,5.6,2022
Togo,TGO,2022,12.8,2022
Trinidad and Tobago,TTO,2022,12.6,2022
Tunisia,TUN,2022,3.2,2022
Turkey,TUR,2022,2.5,2022
Turkmenistan,TKM,2022,4.1,2022
Uganda,UGA,2022,36.9,2022
Ukraine,UKR,2022,5.8,2022
United Arab Emirates,ARE,2022,2.7,2022
United Kingdom,GBR,2022,2.5,2022
United States,USA,2022,2.5,2022
Uruguay,URY,2022,2.5,2022
Uzbekistan,UZB,2022,2.5,2022
Vanuatu,VUT,2022,7.9,2022
Venezuela,VEN,2022,17.6,2022
Vietnam,VNM,2022,5.2,2022
Yemen,YEM,2022,39.5,2022
Zambia,ZMB,2022,35.4,2022
Zimbabwe,ZWE,2022,38.1,2022
