Entity,Code,Year,Annual CO₂ emissions (per capita),time
Tuvalu,TUV,2024,1.1831627,2024
Uganda,UGA,2024,0.12663798,2024
Ukraine,UKR,2024,3.7637882,2024
United Arab Emirates,ARE,2024,20.131075,2024
United Kingdom,GBR,2024,4.5257993,2024
United States,USA,2024,14.197287,2024
Uruguay,URY,2024,2.35437,2024
Uzbekistan,UZB,2024,3.829127,2024
Vanuatu,VUT,2024,0.6012429,2024
Venezuela,VEN,2024,4.085203,2024
Vietnam,VNM,2024,3.6730351,2024
Yemen,YEM,2024,0.24944058,2024
Zambia,ZMB,2024,0.5650162,2024
Zimbabwe,ZWE,2024,0.82366556,2024
